,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81
3174,CCBBCEAD,CCBBCEAD,BCCDCCZADACEDBBEAADEDABCDBC,BCCDCCZADAXEDXBXXADEXABCXBC,CCABBEAC,11010110.0,CCCDCCEADABDEDEBCAAEDACADBE,011111811190090991019100910,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,"57,9","58,9","62,5","53,5",56.0,60.0,55.0,51.0,75.0,45.0,"57,5","60,0","43,3",75.0,55.0,0.0,B,D,A,C,E,C,B,D,F,E,A,A,A,A,A,27.0,B,A,A,B,A,A,B,A,E,A,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,1.0,4.0,3.0,4.0,4.0,7.0,4.0,3.0,4.0,3.0,4.0,7.0,7.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,8.0,3.0,4.0,5.0,,,,,,,,,,,,,
3175,CCBBCEAD,CCBBCEAD,BCCDCCZADACEDBBEAADEDABCDBC,BCCDCCZADAXEDXBXXADEXABCXBC,CDABCEAD,10011111.0,CADDDDCCCBEECCDDBCDDCCCADDD,000100800091090990109000900,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"28,0","73,4","75,0","71,0",67.0,75.0,65.0,75.0,75.0,75.0,"12,8","15,0","0,0",0.0,0.0,0.0,A,D,A,D,D,B,C,C,E,E,A,A,A,A,A,27.0,B,A,B,A,A,C,B,E,C,A,4.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,8.0,6.0,7.0,7.0,4.0,3.0,4.0,4.0,7.0,2.0,4.0,3.0,5.0,2.0,2.0,6.0,7.0,2.0,,,,,,,,,,,,,
3176,CCBBCEAD,CCBBCEAD,BCCDCCZADACEDBBEAADEDABCDBC,BCCDCCZADAXEDXBXXADEXABCXBC,ACBCADCD,1100001.0,AAEDBCAAAAAABBABBABBAABACBC,000101810190090991009110911,555.0,555.0,555.0,333.0,555.0,333.0,333.0,333.0,333.0,333.0,333.0,"34,4","22,5","37,5","0,0",0.0,0.0,0.0,0.0,0.0,0.0,"38,3","45,0","0,0",0.0,0.0,0.0,A,A,A,F,D,B,C,A,B,A,A,A,A,A,A,27.0,A,A,B,A,A,A,B,E,A,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,
3177,CCBBCEAD,CCBBCEAD,BCCDCCZADACEDBBEAADEDABCDBC,BCCDCCZADAXEDXBXXADEXABCXBC,BCABCEBD,1011101.0,CCCDAEEBEAAEBCBCCCADCDCEABA,011100800191091990009000910,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,"39,3","67,7","62,5","75,5",76.0,60.0,80.0,75.0,75.0,75.0,"29,8","35,0","0,0",0.0,0.0,0.0,A,D,A,A,D,B,G,B,B,A,A,E,A,A,D,27.0,A,A,B,C,B,B,B,E,E,A,6.0,5.0,4.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,5.0,4.0,6.0,6.0,6.0,1.0,1.0,4.0,4.0,3.0,4.0,6.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,6.0,1.0,3.0,,,,,,,,,,,,,
3178,CCBBCEAD,CCBBCEAD,BCCDCCZADACEDBBEAADEDABCDBC,BCCDCCZADAXEDXBXXADEXABCXBC,BCDBCEBE,1011100.0,DBADBDEDCACBDEECDAAECAEEABD,000100800190190991019100910,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,333.0,333.0,"33,4","44,2","50,0","35,5",71.0,75.0,70.0,0.0,0.0,0.0,"29,8","35,0","0,0",0.0,0.0,0.0,B,A,A,D,D,C,C,B,D,C,A,A,A,A,A,27.0,B,A,B,C,B,B,B,A,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
3179,CCBBCEAD,CCBBCEAD,BCCDCCZADACEDBBEAADEDABCDBC,BCCDCCZADAXEDXBXXADEXABCXBC,ADEBCEAD,11111.0,DEADBEEECABCAEBBADAD.E..BC.,000100800190091990009000900,555.0,555.0,555.0,555.0,555.0,333.0,555.0,555.0,333.0,333.0,333.0,"26,5","67,7","62,5","75,5",78.0,70.0,80.0,73.0,65.0,75.0,"12,8","15,0","0,0",0.0,0.0,0.0,A,D,A,C,D,B,D,C,C,D,A,E,A,A,A,27.0,E,A,B,H,B,B,B,A,C,A,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,,,,,,,,,,,,,
3180,CCBBCEAD,XCBBCEAD,EAADDACDEBBAACDDDBBCAEADCBB,EAADDAXDEBBAXXDDDBBCAEADCBX,,,,,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,B,D,A,B,B,C,C,B,B,A,I,A,A,A,A,27.0,A,A,A,A,A,A,B,E,E,F,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,6.0,1.0,1.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,A,A,H,B,A,B,A,C,A,B,B,A,A
3181,CCBBCEAD,XCBBCEAD,EAADDACDEBBAACDDDBBCAEADCBB,EAADDAXDEBBAXXDDDBBCAEADCBX,DCBBEEAD,91110111.0,EAADDDBEAEBDBBBECEBCEEACABE,111110900010990000110110019,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"54,4","75,4","85,7","60,0",87.0,75.0,90.0,33.0,85.0,20.0,"47,4","47,8","45,0",10.0,100.0,25.0,B,A,A,D,B,C,D,C,E,E,B,A,A,A,A,27.0,E,A,F,K,A,A,C,E,F,E,3.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,3.0,5.0,6.0,7.0,4.0,6.0,4.0,3.0,4.0,2.0,5.0,5.0,6.0,6.0,5.0,4.0,1.0,3.0,5.0,2.0,4.0,5.0,3.0,4.0,3.0,8.0,2.0,5.0,5.0,6.0,8.0,8.0,B,A,I,I,A,A,A,A,C,B,C,B,B
3182,CCBBCEAD,CCBBCEAD,ABDEBBEADCCDECCBCAEAEEEAADD,ABDEBBEXDXCDECCXXAEAEXEAADD,BDBEBEAC,100110.0,ADBEBACCDAAAACCAEEDAACDDACD,100110091900011990010900101,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,333.0,555.0,"40,5","48,5","37,5","65,0",75.0,75.0,75.0,55.0,75.0,50.0,"37,8","40,9","20,0",0.0,0.0,60.0,A,D,A,B,C,B,E,A,E,C,A,A,C,A,C,27.0,A,A,B,C,A,B,B,E,H,E,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,8.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,A,J,B,C,A,B,C,E,E,A,A,A,A
3183,CCBBCEAD,CCBBCEAD,ABDEBBEADCCDECCBCAEAEEEAADD,ABDEBBEXDXCDECCXXAEAEXEAADD,DCDBBEBC,1010100.0,ADBBBDEBCCEBCDCACDDBDBECBCB,100010190900001990000910000,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,333.0,555.0,"28,8","48,1","37,5","64,0",55.0,75.0,50.0,73.0,65.0,75.0,"22,3","22,7","20,0",0.0,0.0,60.0,A,D,A,B,B,B,F,A,C,B,A,C,D,A,A,27.0,A,A,D,C,B,C,B,E,E,A,6.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,A,A,B,C,A,C,D,B,A,B,B,B,B
