,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
413735,2018,279,10008,10022,804,79491,1,3304557,33,3,25,M,2012,2013.0,1.0,0,0,8,0,0,0,27,0,6,0,CACBEBDE,CACBEBDE,AEDAADCECDECEEBCCABCCAEDBBD,AEDAXDCECDECXEXCXABCCAEXBXD,ADBCBEAD,0.0,ACCEEBEABEBCCBDBCBDCBCEACCE,100090000001909090010019090,555,555,555,555,555,555,555,555,555,555,555,"13,5","5,2",0,13,4.0,20.0,0.0,22.0,30.0,20.0,"16,2",19,0,0.0,0.0,0.0,C,C,B,B,B,C,D,D,B,A,A,A,D,D,B,B,C,B,A,B,A,A,A,A,33.0,B,A,B,C,B,A,A,E,H,C,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,6.0,6.0,4.0,6.0,6.0,1.0,5.0,6.0,6.0,,6.0,,5.0,5.0,6.0,6.0,6.0,,6.0,6.0,6.0,5.0,5.0,6.0,6.0,,5.0,5.0,5.0,,,6.0,6.0,6.0
412145,2018,163,10005,10028,94,1124348,2,3304557,33,3,26,M,2010,2017.0,4.0,0,0,8,0,0,0,27,0,7,0,CACBEBDE,CACBEBDE,AEBACEABDDABBBDDCECCDBDEEAC,AEBACXABDXXBBXDXCECCXBDEEAX,BACEBBED,1100100.0,EECEEEACADECABBDCDCAEBDBDAD,010009100990090910109110019,555,555,555,555,555,555,333,555,333,555,555,"30,6","30,1","37,5",19,0.0,0.0,0.0,38.0,50.0,35.0,"30,8",35,"6,7",0.0,0.0,20.0,C,D,C,A,A,B,A,A,D,A,D,A,B,C,B,E,A,E,E,B,A,F,A,B,33.0,A,A,F,G,B,A,A,D,F,B,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
338854,2018,645,10008,10020,1,15130,1,4208906,42,4,27,F,2008,2012.0,4.0,0,0,8,0,0,0,27,1,8,0,CACBEBDE,CACBEBDE,ADBBDEDCEEDCAEZADBCBDABECBB,XXBXDEDXEEDCAEZADBCBXAXECXX,DEDCDBEB,100.0,BADBEBEAEACDADCDBBEDCDDACEA,990900091000108001009090199,555,555,555,555,555,555,555,555,555,555,555,"20,1","18,5","12,5","27,5",8.0,40.0,0.0,47.0,55.0,45.0,"20,6","22,2","11,7",10.0,0.0,25.0,C,D,C,A,A,B,A,B,C,A,A,A,D,D,B,C,E,D,C,B,A,A,A,A,42.0,A,A,B,C,A,A,B,E,A,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
343654,2018,151,10008,10022,1,32885,1,3550308,35,3,23,F,2013,2014.0,3.0,0,0,8,0,0,0,27,1,8,0,CACBEBDE,CACBEBDE,ADBBDEDCEEDCAEZADBCBDABECBB,XXBXDEDXEEDCAEZADBCBXAXECXX,CACBDBBE,11110101.0,BDBBEEDBEEDCADCADBCBBBCECBA,991901191111108111119091199,555,555,555,555,555,555,555,555,555,555,555,"78,8","80,4",75,"88,5",81.0,85.0,80.0,96.0,80.0,100.0,"78,3","83,3",50,75.0,0.0,75.0,C,B,C,B,B,C,C,E,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,12.0,A,A,A,A,A,A,A,A,A,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30758,2018,1472,10005,10020,38,111730,2,4207502,42,4,34,F,2002,2014.0,4.0,0,0,8,0,0,0,27,0,0,0,CACBEBDE,CACBEBDE,DBBCACAEDEBEBDDECCDCEADEBDD,DBBCACAEDEBEBDDECCDCEADEBDD,CECCEBAE,10101101.0,DBCCBEADACECBDDBCCBCEBDABDB,110100100000111011011010110,555,555,555,555,555,555,555,555,555,555,555,"49,4","51,7","62,5","35,5",22.0,70.0,10.0,49.0,65.0,45.0,"48,6","51,9",30,50.0,10.0,30.0,E,D,A,D,D,D,B,D,D,B,A,A,A,B,B,D,C,B,A,G,A,F,A,A,42.0,B,A,C,K,A,B,D,E,E,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,2.0,3.0,6.0,6.0,4.0
7335,2018,430,10008,10020,88,119106,1,4113700,41,4,20,M,2016,2017.0,4.0,0,0,8,0,0,0,27,1,4,0,CACBEBDE,CACBEBDE,DBEACECZCEDCADDCEABCDBBCBDC,DXEACECZXXDXADDCEABCDBBCBDC,CACDEDDE,11101011.0,DBECCEDAECDEABDAEABEDBBCBDC,191011089919101011101111111,555,555,555,555,555,555,555,335,555,555,555,"70,2","47,6",75,"6,5",13.0,65.0,0.0,0.0,65.0,0.0,"77,7","77,3",80,80.0,100.0,60.0,C,C,C,A,A,B,E,D,B,A,A,A,B,B,B,B,B,A,A,C,A,F,A,E,41.0,A,A,B,A,A,B,C,A,A,,5.0,5.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,,2.0,6.0,5.0,2.0,,4.0,,6.0,6.0,6.0,5.0,4.0,,,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,1.0,5.0,,6.0
14265,2018,634,10002,10028,2,14972,1,4314407,43,4,26,M,2009,2014.0,3.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CADCEBDE,11001111.0,BADCDAECCEBDACBDBDCAACBECDE,090011000991099009009019001,555,555,555,555,555,555,555,555,555,555,555,"35,5","60,8",75,"39,5",45.0,65.0,40.0,34.0,50.0,30.0,"27,1","26,3","31,7",55.0,0.0,40.0,C,C,C,C,D,D,B,D,B,A,A,A,E,F,B,D,B,B,B,A,A,A,A,E,43.0,A,A,B,A,A,A,E,E,A,C,6.0,6.0,3.0,2.0,4.0,3.0,4.0,3.0,6.0,5.0,3.0,3.0,6.0,4.0,6.0,6.0,3.0,3.0,6.0,5.0,5.0,3.0,6.0,6.0,6.0,,,6.0,3.0,3.0,6.0,2.0,6.0,1.0,2.0,3.0,3.0,6.0,6.0,6.0,3.0,1.0
54511,2018,481,118,10028,26,9820,1,3518800,35,3,22,F,2014,2015.0,4.0,0,0,8,0,0,0,27,0,2,0,CACBEBDE,CACBEBDE,ECAEDBADCECCDAEADDBAADCDCDE,ECAEDBADCEXCDAEADXBAADCDCDE,DBCCDDBE,100001.0,CDBEDBAACECEDAEADEEAAEBECCE,000111101190111119011000101,555,555,555,555,555,555,555,555,555,555,555,"44,7",22,25,"17,5",18.0,50.0,10.0,17.0,45.0,10.0,"52,2",60,"8,3",0.0,25.0,0.0,C,C,B,B,B,C,A,D,C,A,D,A,D,D,B,D,C,C,E,I,A,A,A,A,35.0,E,B,D,A,A,B,B,E,E,,5.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0
125493,2018,550,10001,10028,2,11615,1,2506301,25,2,35,M,2005,2014.0,2.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CACBEBDD,11111110.0,CCAADEDBEDECABBACCAACABDBAD,191110111990099019109019100,555,555,555,555,555,555,555,555,555,555,555,"58,8","71,5","87,5","47,5",70.0,70.0,70.0,25.0,85.0,10.0,"54,5","57,9",35,60.0,30.0,15.0,C,C,C,A,A,C,D,D,D,B,F,A,B,B,C,D,B,E,E,A,A,A,A,A,25.0,A,A,C,K,A,D,C,E,A,A,4.0,3.0,4.0,3.0,4.0,5.0,6.0,4.0,3.0,3.0,2.0,3.0,6.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,1.0,5.0,,,3.0,,6.0,3.0,,4.0,3.0,6.0,4.0,2.0,4.0,3.0,5.0,5.0,3.0,5.0,
479607,2018,374,118,10020,1,114506,1,3550308,35,3,29,F,2014,2015.0,1.0,0,0,8,0,0,0,27,1,8,0,CACBEBDE,CACBEBDE,ADBBDEDCEEDCAEZADBCBDABECBB,XXBXDEDXEEDCAEZADBCBXAXECXX,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,A,B,B,A,A,B,D,E,B,A,A,A,A,35.0,A,A,A,B,B,A,B,E,E,D,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,,,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0
