,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
110675,2018,2835,10005,10020,105,1304538,2,2611606,26,2,22,M,2013,2017.0,3.0,0,0,8,0,0,0,27,0,7,0,CACBEBDE,CACBEBDE,AEDEBDBCCCBCEEBBDBCCEACBADC,AEDEXDBCXCBCEEBXDXXCEACXADX,CACDDBDA,11100110.0,AEDEADACDCAEEEBAEABEAAEAAEE,111191019100111909900109109,555,555,555,555,555,555,555,555,555,555,555,"60,7","64,1","62,5","66,5",62.0,70.0,60.0,71.0,75.0,70.0,"59,5",60,"56,7",60.0,10.0,100.0,D,D,C,C,B,B,A,D,D,A,D,A,D,D,B,E,A,D,E,B,A,A,A,A,27.0,A,A,B,C,B,E,E,E,A,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
111262,2018,40,10001,10028,2,91692,1,2924009,29,2,45,M,1992,2010.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CCCBEDDD,10111010.0,CDBACEDBCCCCEBCCCBADEABCBDC,190100110990199019109019100,555,555,555,555,555,555,555,555,555,555,555,"49,5","59,9","62,5",56,56.0,80.0,50.0,56.0,80.0,50.0,46,"47,4","38,3",70.0,25.0,20.0,.,.,.,.,.,.,.,.,.,B,D,A,B,A,C,E,E,F,E,A,A,A,A,A,27.0,B,B,D,F,A,C,D,E,H,A,6.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,,,4.0,,5.0,4.0,4.0,5.0,6.0,,,4.0,6.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,3.0,2.0
111818,2018,398,10005,10028,2,87400,1,2802908,28,2,49,M,1988,2014.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,DABECBDE,1000111.0,CABADDECCDCDBBCECEBAEBBCBAD,190110000991099119009119100,555,555,555,555,555,555,555,555,555,555,555,"46,4","46,2",50,"40,5",39.0,75.0,30.0,42.0,70.0,35.0,"46,5","47,4","41,7",40.0,55.0,30.0,D,C,C,B,B,A,A,C,B,B,D,A,D,C,C,D,F,E,D,I,A,A,A,A,27.0,D,B,F,A,A,A,B,E,C,C,6.0,,6.0,6.0,6.0,2.0,6.0,6.0,5.0,6.0,2.0,2.0,2.0,1.0,6.0,3.0,,,3.0,,,2.0,6.0,2.0,,1.0,1.0,3.0,2.0,2.0,4.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0
114503,2018,398,10005,10028,2,98445,1,2805703,28,2,23,M,2013,2013.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,ABBDCEBD,0.0,CDBECEBEDCDCBABDAADADBEAABD,190000000990099009009109000,555,555,555,555,555,555,555,555,555,555,555,"13,7","13,6",0,34,37.0,65.0,30.0,31.0,75.0,20.0,"13,7","10,5","31,7",35.0,45.0,15.0,C,C,C,B,B,C,E,C,C,A,D,A,D,D,B,E,D,B,A,E,A,A,A,A,27.0,A,A,B,A,A,A,B,E,B,E,6.0,6.0,5.0,,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,6.0,5.0,,,,,,,,6.0,5.0,,,,,,5.0,6.0,6.0,,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0
114505,2018,398,10005,10028,2,98445,1,2805703,28,2,26,F,2010,2012.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,BBEDBEAA,0.0,DBAACBACDBBCDCBACDECDECABDD,091100000990099019009009100,555,555,555,555,555,333,555,555,333,333,333,"16,4",12,0,30,21.0,65.0,10.0,39.0,75.0,30.0,"17,9","21,1",0,0.0,0.0,0.0,E,D,D,B,D,D,A,C,D,A,A,A,B,B,B,E,B,B,A,E,A,A,A,A,27.0,A,A,C,E,A,B,B,E,E,C,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,6.0,5.0,3.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,2.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0
114507,2018,398,10005,10028,2,98445,1,2805703,28,2,23,F,2013,2017.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,BABBCBDE,1010111.0,BCDADAECCBAADBBCCCEECBDDBDC,090111000990099019019109100,555,555,555,555,555,555,555,555,333,333,555,39,"53,1","62,5",39,55.0,75.0,50.0,23.0,75.0,10.0,"34,3","36,8",20,0.0,0.0,60.0,C,D,B,C,B,B,B,D,B,A,A,A,E,D,B,D,A,B,A,B,A,A,A,A,27.0,E,A,B,C,A,D,B,E,E,C,5.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,6.0,5.0,5.0,6.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,1.0,4.0,4.0,6.0,6.0
114521,2018,398,10005,10028,2,98445,1,2805703,28,2,37,M,2006,2013.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CADCDDDD,11000010.0,BAAADAEBEBC*EBBEDEADBBBEDCD,091111011990199109109119010,555,555,555,555,555,555,336,336,336,333,333,"45,9","22,5","37,5",0,0.0,0.0,0.0,0.0,0.0,0.0,"53,7","63,2",0,0.0,0.0,0.0,C,C,D,C,C,C,B,D,E,A,B,A,A,B,B,E,B,B,A,E,A,A,A,A,27.0,A,A,B,E,A,C,C,E,E,C,6.0,3.0,5.0,,5.0,4.0,3.0,2.0,6.0,2.0,6.0,5.0,3.0,2.0,6.0,5.0,5.0,2.0,6.0,4.0,6.0,4.0,5.0,2.0,1.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0
114526,2018,398,10005,10028,2,98445,1,2805703,28,2,23,F,2013,2014.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,AADBCACE,1010001.0,BCADACECBAABDEAACBEDCACCBAC,091000000990099019009009100,555,555,555,555,555,555,555,555,555,555,555,"18,3","32,1","37,5",24,13.0,65.0,0.0,35.0,55.0,30.0,"13,7","15,8","1,7",0.0,0.0,5.0,C,C,C,A,B,B,A,A,B,A,D,A,D,C,B,E,B,B,A,B,A,A,A,A,27.0,A,A,B,A,A,D,B,E,B,,2.0,4.0,3.0,5.0,6.0,2.0,4.0,5.0,3.0,4.0,4.0,5.0,2.0,,4.0,6.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,6.0,3.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0
114730,2018,40,10001,10028,2,91692,1,2924009,29,2,38,M,2002,2013.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CADCEBDE,11001111.0,ECCCABDACDDCBBEECABDBDBBADB,090000100990099119009019000,555,555,555,555,555,555,555,555,555,555,555,"34,1","61,6",75,"41,5",47.0,75.0,40.0,36.0,60.0,30.0,"24,9","21,1","46,7",55.0,45.0,40.0,E,C,A,D,C,D,A,A,D,B,D,A,B,B,C,G,C,E,E,A,A,A,A,E,27.0,A,A,G,C,A,B,B,E,H,A,3.0,3.0,2.0,4.0,3.0,,,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0
115222,2018,14321,10005,10022,18,1102225,1,2304400,23,2,29,M,2012,2013.0,1.0,0,0,8,0,0,0,27,0,3,0,CACBEBDE,CACBEBDE,DCEEDBABDEDEAADADAECADEEBAC,XCEEDBXBDEDEAADADAECADEEXAC,AACCAACA,1100000.0,BCAAABDBDCDAAAAEDACCABEEAAC,910001911010110011011011911,555,555,555,333,555,333,333,333,333,333,333,"43,6",15,25,0,0.0,0.0,0.0,0.0,0.0,0.0,"53,1","62,5",0,0.0,0.0,0.0,C,C,C,B,B,C,E,C,B,A,D,A,D,C,B,D,A,B,A,E,A,A,A,A,27.0,B,A,B,C,B,D,B,E,H,C,4.0,1.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0,2.0,2.0,5.0,,,3.0,3.0,4.0,4.0,4.0,6.0,5.0,,,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,,5.0,3.0,3.0
