,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
417482,2015,4530,10005,10020,2,104404,1,2704302,27,2,23,M,2009,2011,2,1,0,0,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,BCCDDDDD,1001100.0,EBCAECBCDC*DBCBECDDADBBCEAD,000000009900001008910100101,555,555,555,555,555,555,555,555,555,555,555,29.4,48.9,37.5,66.0,71.0,75.0,70.0,61.0,65.0,60.0,22.9,21.7,30.0,0.0,55.0,35.0,C,D,C,B,B,B,B,D,B,A,A,A,E,D,B,D,D,B,A,B,A,A,A,A,27.0,B,A,B,C,A,B,B,E,H,C,5.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,6.0,6.0,5.0,3.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0,3.0,5.0,4.0,6.0
417483,2015,4530,10005,10020,2,104404,1,2704302,27,2,22,F,2010,2011,2,1,0,0,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ACABDDCE,11111111.0,ADAEBDDDDCADCBEEDBCDEBEDEDB,100100109900010018900100110,555,555,555,555,555,555,555,555,555,555,555,51.6,88.4,100.0,71.0,80.0,80.0,80.0,62.0,70.0,60.0,39.3,34.8,65.0,80.0,55.0,60.0,C,C,C,B,B,B,E,D,B,A,C,A,E,C,B,F,D,D,D,E,A,A,A,A,27.0,A,A,B,C,A,C,B,E,A,F,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0
417484,2015,4530,10005,10020,2,104404,1,2704302,27,2,27,F,2006,2011,2,1,0,0,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,BCAABDAC,1100100.0,EECEBEDEAEAECBDEAACDCACDDCD,000101119900010008900010001,555,555,555,555,555,555,555,555,555,555,555,36.0,48.5,37.5,65.0,67.0,55.0,70.0,63.0,75.0,60.0,31.8,30.4,40.0,20.0,70.0,30.0,C,C,C,C,C,C,C,C,C,A,C,A,A,E,B,E,F,B,B,E,A,A,A,A,27.0,B,A,B,C,A,C,E,A,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
417486,2015,4530,10005,10020,2,104404,1,2704302,27,2,22,M,2011,2012,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,CCBBDDBD,1011100.0,CCBBABCDBCECCBBBDCDBDEABBBC,001000009900011018900000000,555,555,555,555,555,555,555,555,555,555,555,25.0,52.6,50.0,56.5,50.0,50.0,50.0,63.0,75.0,60.0,15.8,17.4,6.7,0.0,20.0,0.0,C,C,B,D,D,C,E,D,D,A,C,A,E,E,B,E,F,B,A,B,A,A,A,A,27.0,B,A,B,C,A,C,B,C,B,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
417487,2015,4530,10005,10020,2,104404,1,2704302,27,2,22,M,2011,2012,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,BCABDDCE,1111111.0,ABBEEAEADCDDBEBADCEDDACABAB,101100009900001018900011000,555,555,555,555,555,555,555,555,555,555,555,41.7,79.5,87.5,67.5,57.0,85.0,50.0,78.0,70.0,80.0,29.1,30.4,21.7,20.0,25.0,20.0,C,D,B,B,C,B,E,D,D,A,A,A,E,E,B,C,B,D,D,E,A,A,A,A,27.0,B,D,B,C,A,C,B,E,C,F,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0
417488,2015,4530,10005,10020,2,104404,1,2704302,27,2,26,F,2006,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ADCDEDEE,10000101.0,AAEEAADECADDADEEDCABDAECEAC,110100119900000018900000100,555,555,555,333,555,333,333,333,333,333,333,25.0,22.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,30.4,0.0,0.0,0.0,0.0,C,C,A,C,D,D,D,D,B,B,A,A,B,D,C,B,B,C,E,E,A,A,A,A,27.0,A,A,B,C,B,D,D,E,B,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
417489,2015,4530,10005,10020,2,104404,1,2704302,27,2,24,F,2009,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ACABDDCB,11111110.0,AABEADDEACAEDABADDCEDBCCEAE,111100119900101018900110100,555,555,555,555,555,555,555,555,555,555,555,58.4,77.3,87.5,62.0,63.0,75.0,60.0,61.0,65.0,60.0,52.1,52.2,51.7,80.0,50.0,25.0,C,C,B,B,B,C,E,D,C,A,A,A,F,F,B,C,E,C,A,B,A,A,A,A,27.0,A,A,B,A,A,C,C,A,E,C,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
417490,2015,4530,10005,10020,2,104404,1,2704302,27,2,21,M,2011,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,CDCADDBE,1101.0,CECBDEADEEBCDBBCACCBDDBECBC,000011009910111108900000000,555,555,555,555,555,555,555,555,333,555,333,35.4,53.7,37.5,78.0,78.0,70.0,80.0,78.0,70.0,80.0,29.3,30.4,23.3,0.0,70.0,0.0,B,C,C,A,B,B,E,D,C,A,C,A,C,D,A,A,F,B,A,B,A,A,A,A,27.0,A,A,B,C,B,E,C,E,E,F,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
417491,2015,4530,10005,10020,2,104404,1,2704302,27,2,30,M,2005,2008,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ABBDDDCD,10001110.0,AEBAAADDDCBBABBCDCAACACBEAB,101000109910011118910010100,555,555,555,555,555,555,555,555,555,555,555,47.4,57.2,50.0,68.0,78.0,70.0,80.0,58.0,50.0,60.0,44.1,47.8,23.3,20.0,20.0,30.0,B,C,B,B,B,B,E,D,D,A,A,A,D,D,B,C,E,D,E,E,A,A,A,A,27.0,A,A,A,C,B,D,B,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,4.0,5.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0
417492,2015,4530,10005,10020,2,104404,1,2704302,27,2,37,F,1996,2009,2,1,0,0,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,BCEBDBEE,1011001.0,CEBEEDEEDCAACBEEDECEDBEDAEB,001100019901010018900100000,555,555,555,555,555,333,555,555,333,333,333,34.7,61.4,50.0,78.5,80.0,80.0,80.0,77.0,65.0,80.0,25.8,30.4,0.0,0.0,0.0,0.0,B,A,A,A,B,B,B,A,A,A,A,A,D,D,B,D,E,B,A,B,A,A,A,A,27.0,B,A,A,A,A,E,D,E,C,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
