,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
299152,2015,1427,10005,10022,18,81050,1,4305108,43,4,37,F,2001,2010,2,0,0,1,1,1,0,8,0,0,0,27,1,5,0,ACABDDCE,ACABDDCE,DDAACDEBDCEAABDECCCDADEBZCE,XDAXCXEBXCEAABDXCCCDADEBZCE,DBABDBAE,111001.0,CDEBABEBBBAAABDBADDBEBDBCEE,910909119001111900000001801,555,555,555,555,555,555,555,555,555,555,555,46.7,54.8,50.0,62.0,61.0,65.0,60.0,63.0,75.0,60.0,44.0,42.9,50.0,35.0,35.0,80.0,C,D,B,B,C,C,B,C,E,B,E,A,A,B,C,D,C,A,B,E,A,A,A,A,43.0,E,D,F,G,B,D,B,E,E,C,5.0,5.0,4.0,4.0,6.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,6.0,8.0,8.0,5.0,5.0,4.0,5.0,6.0,3.0,6.0,4.0,3.0,3.0,3.0,8.0,6.0,5.0,4.0
181293,2015,2632,10008,10022,1,36301,1,2910727,29,2,27,F,2006,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,ADABCBACDAEECDABEEECDDCDBEA,ADABCBACDAXECDABXEECDDCDBEA,CEAEDDCE,101111.0,DDBCCDCCEADDBDBBCEBADEAACDA,010010010190010191001000001,555,555,555,555,555,555,555,555,555,555,555,39.5,52.7,62.5,38.0,35.0,55.0,30.0,41.0,45.0,40.0,35.1,36.0,30.0,20.0,0.0,70.0,D,D,A,B,D,D,B,B,C,B,A,A,D,D,C,B,C,E,E,C,A,A,A,D,29.0,A,A,B,C,A,B,C,E,A,C,4.0,4.0,2.0,2.0,7.0,5.0,3.0,2.0,3.0,4.0,1.0,2.0,4.0,1.0,1.0,4.0,7.0,7.0,5.0,7.0,7.0,1.0,3.0,7.0,1.0,7.0,7.0,5.0,5.0,5.0,4.0,7.0,1.0,7.0,6.0,7.0,7.0,5.0,7.0,3.0,7.0,4.0
335731,2015,2484,10008,10022,2,90659,1,5300108,53,5,27,F,2005,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ACABDEDD,11111000.0,AACEBCDEAEBEBBCCABABBBCEEAD,110100119910010108901110101,555,555,555,555,555,555,555,555,555,555,555,56.2,67.1,62.5,74.0,72.0,80.0,70.0,76.0,60.0,80.0,52.5,56.5,30.0,20.0,70.0,0.0,C,C,C,B,B,B,D,D,C,A,C,A,D,D,B,B,E,D,D,B,A,A,A,A,53.0,A,A,C,D,A,D,B,E,C,F,5.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0,6.0,6.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,2.0,2.0,7.0,6.0,3.0,1.0,5.0,6.0,5.0,2.0,3.0,6.0,6.0,3.0,8.0,8.0,4.0,5.0
92644,2015,586,10002,10028,2,14363,1,3304557,33,3,24,F,2010,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,..ABDDCE,111111.0,A.BEB......................,101100009900000008900000000,555,555,555,555,555,555,555,555,555,555,555,35.4,83.6,75.0,96.5,98.0,90.0,100.0,95.0,75.0,100.0,19.3,13.0,55.0,60.0,65.0,40.0,C,D,A,B,C,C,D,D,B,A,A,A,E,F,D,A,E,C,A,A,E,D,E,D,35.0,A,A,B,A,A,B,D,A,B,F,4.0,4.0,5.0,4.0,6.0,2.0,6.0,5.0,3.0,3.0,3.0,4.0,5.0,1.0,1.0,6.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,2.0,1.0
89763,2015,580,10002,10028,18,13608,1,2611606,26,2,21,F,2010,2011,2,1,1,0,1,1,0,8,0,0,0,27,1,5,0,ACABDDCE,ACABDDCE,DDAACDEBDCEAABDECCCDADEBZCE,XDAXCXEBXCEAABDXCCCDADEBZCE,BCABDDCE,1111111.0,DDABCEABDCAADDDACCADADEBBEE,911919019101001911011111801,555,555,555,555,555,333,555,555,333,333,333,66.9,85.3,87.5,82.0,87.0,75.0,90.0,77.0,65.0,80.0,60.7,71.4,0.0,0.0,0.0,0.0,C,D,C,A,B,B,A,D,D,A,A,A,D,C,B,E,C,B,A,A,A,A,A,A,26.0,B,A,A,B,A,C,B,A,E,A,6.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,7.0,6.0,2.0,3.0
62132,2015,450,121,10020,2,9412,1,1100122,11,1,33,F,2001,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ACADDECA,11101010.0,CAEEBCEEACAACACEACCABDEDBBB,010100019901000008911000000,555,555,555,333,555,555,333,333,555,555,555,30.7,37.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,26.1,41.7,60.0,20.0,45.0,C,C,C,C,C,C,B,C,D,B,C,A,B,B,C,B,A,C,E,D,F,F,A,A,11.0,A,A,A,C,A,A,B,E,A,C,5.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0
232084,2015,298,10005,10028,804,55454,1,4113700,41,4,22,F,2009,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACABDDCE,ACABDDCE,DBDCCEDBDCCEEBEEBEAACAEDABC,DBDCCEDBDCCEEXEEBEXAXAEXABX,CBADEDAD,100100.0,EBDABDDCECEBCBCEAEEBECEDBBA,011000100100090101909019019,555,555,555,555,555,555,555,555,555,555,555,32.1,34.0,25.0,47.5,63.0,75.0,60.0,32.0,80.0,20.0,31.4,36.4,3.3,0.0,0.0,10.0,D,D,B,B,B,B,B,D,D,A,C,A,B,C,B,C,C,D,D,E,A,A,A,A,41.0,A,A,B,A,B,B,B,E,B,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
102778,2015,699,10002,10028,2,16012,1,1100049,11,1,38,F,1996,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,ACADDEAD,11101000.0,CBEEBEEEEEAACBCCDBAADBDCCED,000101019901010118910100001,555,555,555,555,555,555,555,555,555,555,555,48.9,57.4,50.0,68.5,74.0,90.0,70.0,63.0,75.0,60.0,46.0,43.5,60.0,80.0,70.0,30.0,.,.,.,.,.,.,.,.,.,B,C,A,B,E,C,B,C,E,E,A,A,A,A,A,11.0,A,C,C,K,A,D,C,E,A,A,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
383846,2015,298,10005,10028,22,97982,0,4113700,41,4,33,F,1999,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,6,0,ACABDDCE,ACABDDCE,AEDABEEBCACEDDBECCCCDAECBAZ,AEDABEEXXACEDDBECXCXXXECBAZ,BCADDDAE,1101101.0,CEDDAEDDBACEAABEDDCCECDCBAE,011001099111001109199901118,555,555,555,555,555,555,555,555,555,555,555,57.2,72.3,62.5,87.0,79.0,75.0,80.0,95.0,75.0,100.0,52.2,60.0,8.3,0.0,0.0,25.0,B,D,C,A,B,C,B,D,D,B,A,A,B,D,C,D,E,D,E,B,A,A,A,A,26.0,B,A,B,B,A,E,C,E,H,I,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,3.0,3.0,3.0,5.0,6.0,3.0,5.0,6.0,6.0,2.0,1.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,2.0,1.0
440346,2015,572,10002,10028,81,108648,1,3303302,33,3,23,M,2010,2011,2,1,0,0,1,1,0,8,0,0,0,27,0,4,0,ACABDDCE,ACABDDCE,ADCCBCBDEBDACCBCADEEABDBDCC,XDCCBCBXEBDACCBCADEEABXBDXC,ACABDDCE,11111111.0,EDBABABDEBDCCCDEACEEADABBDC,910010191110110010111091091,555,555,555,555,555,555,555,555,555,555,555,64.0,84.2,100.0,60.5,60.0,60.0,60.0,61.0,65.0,60.0,57.3,60.9,36.7,40.0,20.0,50.0,C,C,C,B,B,C,C,E,B,A,A,A,E,E,A,A,F,C,D,A,A,D,E,A,33.0,B,A,B,G,A,D,B,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0
