,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,IN_GRAD,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
84204,2016,2082,10005,10022,12,72667,1,2507507,25,2,23,F,2009,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,EAECBDBE,1100100.0,DDBEBAECECEACECDAAECEACDAEA,101191119101911119001001109,555,555,555,555,555,555,555,555,555,555,555,60.3,49.3,37.5,67.0,71.0,75.0,70.0,63.0,75.0,60.0,64.0,68.2,40.0,40.0,50.0,30.0,C,C,C,B,B,C,C,D,C,A,A,A,E,D,B,D,F,B,A,B,F,D,A,A,27.0,B,A,B,A,A,B,E,A,E,I,5.0,5.0,4.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,3.0,6.0,4.0,4.0,6.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0
84205,2016,2082,10005,10022,12,72667,1,2507507,25,2,25,F,2009,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CEEBBDAC,10110111.0,DEBECAECACDABECCACBEDBBDADB,101191119111911019100001119,555,555,555,555,555,555,555,555,555,555,555,67.2,67.8,75.0,57.0,61.0,65.0,60.0,53.0,65.0,50.0,67.0,72.7,35.0,10.0,55.0,40.0,C,C,C,B,A,C,A,D,D,A,A,A,C,E,B,B,G,B,A,B,A,A,A,A,27.0,B,A,B,A,A,C,C,E,E,G,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
84215,2016,2082,10005,10022,12,72667,1,2507507,25,2,33,M,2000,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CAEBBDCE,11110100.0,DEEDCBBCCDDACECDABCDEDEDBDD,100090019011911119011011019,555,555,555,555,555,555,555,555,555,555,555,57.1,65.9,62.5,71.0,79.0,75.0,80.0,63.0,75.0,60.0,54.2,59.1,26.7,0.0,50.0,30.0,D,D,A,B,B,C,B,D,D,A,A,A,E,E,A,A,F,B,A,E,A,A,A,A,27.0,B,A,B,C,A,B,E,E,C,G,7.0,1.0,7.0,3.0,7.0,1.0,2.0,3.0,3.0,2.0,2.0,7.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,7.0,2.0,5.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,7.0,3.0,1.0
84218,2016,2082,10005,10022,12,72667,1,2507507,25,2,24,M,2009,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CAEDBDAE,11100110.0,CBBEBAECEDDACECEABBDEDEDADB,011191119011911019111011119,555,555,555,555,555,555,555,555,555,555,555,73.3,63.5,62.5,65.0,51.0,55.0,50.0,79.0,75.0,80.0,76.5,81.8,46.7,40.0,40.0,60.0,B,C,C,B,B,C,A,D,D,A,D,A,E,E,B,D,F,B,A,B,A,A,A,A,27.0,B,A,B,C,A,B,E,E,E,G,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
84219,2016,2082,10005,10022,12,72667,1,2507507,25,2,24,M,2009,2012,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,DAEDBDDE,1100100.0,DBBEAAECCCEABECDABBDEEEDEDB,111191119101911119111111019,555,555,555,555,555,555,555,555,336,555,555,74.7,47.3,37.5,62.0,63.0,75.0,60.0,61.0,65.0,60.0,83.8,90.9,43.3,0.0,70.0,60.0,C,C,A,D,C,C,B,D,D,A,A,A,F,F,D,A,E,C,B,E,A,A,F,A,27.0,B,A,B,C,A,E,E,E,E,C,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,6.0,5.0,5.0,6.0,7.0,1.0,1.0,6.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,1.0,6.0,1.0,1.0
84443,2016,1995,10005,10022,12,72681,1,2507507,25,2,25,F,2008,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,AEEBBDEE,110100.0,DEBEBBBCADDAADCDACCCDDBDBDB,101190019011901119000001019,555,555,555,555,555,555,555,555,555,555,555,46.2,49.3,37.5,67.0,71.0,75.0,70.0,63.0,75.0,60.0,45.2,50.0,18.3,10.0,15.0,30.0,B,C,C,B,B,C,A,D,C,A,A,A,E,E,A,A,B,B,A,E,A,A,A,A,27.0,B,A,A,C,A,B,E,A,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
84458,2016,1995,10005,10022,12,72681,1,2507507,25,2,26,M,2007,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CAEBBDAE,11110110.0,DDBECAECACEADECEAAEBEDECADB,101191119101911019001010119,555,555,555,555,555,555,555,555,555,555,555,61.2,64.8,75.0,49.5,77.0,65.0,80.0,22.0,70.0,10.0,60.0,68.2,13.3,0.0,20.0,20.0,B,C,D,A,B,D,A,C,D,A,D,A,E,D,A,A,F,B,A,E,A,A,A,A,27.0,B,A,A,A,A,C,E,A,C,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
84463,2016,1995,10005,10022,12,72681,1,2507507,25,2,29,F,2005,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CAEAAEEE,11100000.0,DEBEDADCEADACECCADEAEEEDADD,101191019011911019001111119,555,555,555,555,555,555,555,555,555,555,555,65.3,54.9,37.5,81.0,96.0,80.0,100.0,66.0,90.0,60.0,68.8,72.7,46.7,0.0,50.0,90.0,C,C,A,B,B,B,B,D,D,A,D,A,D,F,A,A,B,B,A,E,A,A,A,A,27.0,B,A,B,G,A,E,D,A,E,I,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
84486,2016,1995,10005,10022,12,72681,1,2507507,25,2,27,M,2006,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,EBEBADAC,110111.0,DEBEDAECADEADACDAABDDDEDADB,101191119001901119110011119,555,555,555,555,555,555,555,555,555,555,555,66.7,70.9,62.5,83.5,98.0,90.0,100.0,69.0,65.0,70.0,65.3,72.7,23.3,10.0,10.0,50.0,C,C,C,B,B,B,B,D,C,A,A,A,E,E,B,C,B,A,A,E,A,A,A,A,27.0,B,A,B,A,A,B,C,A,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
84487,2016,1995,10005,10022,12,72681,1,2507507,25,2,22,M,2010,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,EAECCDEE,1101100.0,DBBECADCECEADECDAABDEEBDADB,111191019101911119111101119,555,555,555,555,555,555,555,555,555,555,555,75.4,64.0,50.0,85.0,82.0,90.0,80.0,88.0,80.0,90.0,79.2,86.4,38.3,10.0,55.0,50.0,C,C,C,B,A,B,E,D,D,A,A,A,E,E,A,A,B,B,A,E,A,D,A,A,27.0,B,A,B,A,A,B,E,E,E,G,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0
