,NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,IN_GRAD,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
112311,2016,163,10005,10028,36,96499,1,3302403,33,3,22,F,2011,2012,2,0,0,1,1,1,0,8,0,0,0,27,2,4,0,CAEBCDAC,CAEBCDAC,BBCAZZEBCACABDEABEDECDDECBA,BBCAZZEBCACABDEXBEDXXDDEXBA,EBEDBEAB,100010.0,ABCADCEADBCAACEEAABDACEBABA,011188100011001900099000911,555,555,555,555,555,555,555,555,555,555,555,42.7,44.6,25.0,74.0,77.0,65.0,80.0,71.0,75.0,70.0,42.1,42.9,37.7,13.0,40.0,60.0,C,C,C,A,A,B,E,E,D,A,D,A,D,E,B,D,C,B,A,G,A,A,A,A,33.0,A,A,B,A,A,E,C,C,C,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
37905,2016,757,10005,10022,23,17046,1,1506807,15,1,39,F,2000,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,DEEECEED,101000.0,EDCAEBAABCAADCACDAECCCADCBD,001919101010091010091009110,555,555,555,555,555,555,555,555,555,555,555,41.8,34.4,25.0,48.5,58.0,50.0,60.0,39.0,75.0,30.0,44.2,45.5,36.7,60.0,0.0,50.0,C,C,D,C,B,D,B,C,D,E,D,A,B,D,C,C,B,B,A,C,A,A,A,D,15.0,A,C,B,C,A,A,C,E,E,H,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
137063,2016,449,121,10028,92,106074,1,4318408,43,4,21,F,2012,2014,2,0,0,1,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,DDDAECCDEAEEBBCEBADAEEDBBCD,DDDAEXCDEAEEXBCEBADXEEDXBCD,DECCACAE,10.0,AADECBDEDAABADCCBEEBCCDEBDE,001009000100901010090019100,555,555,555,555,555,555,555,555,555,555,555,27.1,33.7,12.5,65.5,70.0,70.0,70.0,61.0,65.0,60.0,24.9,26.1,18.3,55.0,0.0,0.0,D,D,C,B,B,B,A,D,C,C,A,A,E,D,B,E,B,C,C,C,A,A,A,C,43.0,A,A,B,C,B,C,C,E,A,C,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0
50830,2016,404,10008,10022,17,21075,1,5300108,53,5,20,F,2013,2014,2,1,0,0,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,ABECBCEDZACDZDCAABBBEDCEDED,ABEXBCEDZACDZDCAABBBEDCEDED,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99615,2016,1600,10008,10022,12,86288,1,3143302,31,3,23,F,2010,2011,2,1,0,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,CAECBDDE,11100100.0,DDBEBAECACDACECDABBDEDEDBDB,101191119111911119111011019,555,555,555,555,555,555,555,555,555,555,555,72.4,61.8,50.0,79.5,87.0,75.0,90.0,72.0,80.0,70.0,75.9,86.4,16.7,0.0,20.0,30.0,C,C,B,B,B,B,B,B,D,A,D,A,E,E,A,A,D,B,A,E,A,A,A,A,31.0,B,A,B,C,A,C,C,E,E,C,6.0,6.0,3.0,4.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,3.0,2.0,6.0,5.0,2.0,4.0,4.0,5.0,5.0,6.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,5.0,2.0,2.0
116512,2016,298,10005,10028,38,97990,0,4113700,41,4,23,M,2011,2012,2,0,0,1,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,DEEDADCC,100101.0,EACEECBCBEAECADACECCBAECDDB,099180111811108000000811909,555,555,555,555,555,555,555,555,555,555,555,44.1,52.3,37.5,74.5,87.0,75.0,90.0,62.0,70.0,60.0,41.3,47.4,6.7,20.0,0.0,0.0,C,C,C,C,C,C,B,D,C,A,D,A,B,B,B,D,B,D,D,B,A,A,A,A,29.0,A,A,B,A,A,B,B,E,H,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,2.0,2.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0
178609,2016,2240,10008,10022,38,1076092,1,2304400,23,2,44,F,1990,2012,2,0,0,1,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,CBABADEA,10010100.0,DBCEDEBAEEBEEC.ABDDEDCECCEB,199180100801008000011811919,555,555,555,555,555,555,333,555,555,555,333,38.9,34.5,37.5,30.0,0.0,0.0,0.0,60.0,60.0,60.0,40.3,47.4,0.0,0.0,0.0,0.0,C,D,B,B,B,D,A,B,D,B,B,A,B,C,C,G,B,B,A,E,A,A,A,A,23.0,A,A,F,A,B,B,B,E,E,I,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,5.0,6.0,5.0,3.0,3.0,6.0,5.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,5.0,7.0,6.0,7.0,7.0
147987,2016,1472,10005,10020,38,111730,0,4207502,42,4,27,F,2012,2012,2,0,0,1,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,CEDDADEB,10000100.0,CBCBDEBABABDDABCBDCCBDBEEBD,099080101800008000000800909,555,555,555,555,555,555,333,555,555,555,555,13.8,25.4,25.0,26.0,0.0,0.0,0.0,52.0,60.0,50.0,9.9,10.5,6.7,20.0,0.0,0.0,C,C,C,A,A,B,.,E,B,A,A,A,A,A,C,C,B,C,E,B,A,A,A,A,42.0,A,A,B,B,B,B,C,E,F,E,1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
210112,2016,322,10008,10028,92,1286857,0,3550308,35,3,45,F,1987,2015,2,0,1,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,DDDAECCDEAEEBBCEBADAEEDBBCD,DDDAEXCDEAEEXBCEBADXEEDXBCD,EADEADAE,1000110.0,ADDCADDBEAEEAABEBADDEDDDBDD,011009001111900111191019101,555,555,555,555,555,555,555,555,555,333,333,53.6,49.3,37.5,67.0,87.0,75.0,90.0,47.0,75.0,40.0,55.0,60.9,21.7,65.0,0.0,0.0,C,D,B,B,B,C,B,D,E,B,A,A,B,B,C,D,D,B,A,B,A,A,A,A,43.0,A,A,C,A,A,B,B,E,C,B,6.0,7.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,7.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0
210376,2016,1270,10005,10020,92,1300486,0,3543402,35,3,39,M,1996,2015,2,0,0,1,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,DDDAECCDEAEEBBCEBADAEEDBBCD,DDDAEXCDEAEEXBCEBADXEEDXBCD,EBDBADAA,10110.0,EEDAEDCEBACAABBEBABCEEADBCD,001119100100910111091109111,555,555,555,333,555,555,333,333,555,555,555,52.9,22.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,60.9,75.0,85.0,100.0,40.0,.,.,.,.,.,.,.,.,.,E,F,A,A,B,C,G,E,E,E,B,A,A,A,A,35.0,A,A,C,K,A,B,C,D,C,E,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0
212080,2016,1107,10005,10020,23,5000235,1,2304400,23,2,22,F,2011,2012,2,0,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,EBEEADCE,100100.0,BCDAEBABEAAAAEADDDDDEDDDCEE,000919100010191010190019101,555,555,555,555,555,555,555,555,555,555,555,44.4,40.4,25.0,63.5,66.0,50.0,70.0,61.0,65.0,60.0,45.7,45.5,46.7,30.0,50.0,60.0,C,C,C,B,A,C,E,E,D,A,D,A,D,D,B,C,A,A,A,E,A,A,A,A,23.0,A,B,B,C,A,C,C,E,A,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,2.0,5.0,8.0,6.0,5.0,6.0,6.0,5.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
