Version,Metodo,I01_BR,I02_BR,I03_BR,I04_BR,I05_BR,I06_BR,I07_BR,I08_BR,I09_BR,I10_BR,I11_BR,I12_BR,I13_BR,I14_BR,I15_BR,I16_BR,I17_BR,I18_BR,I19_BR,I20_BR,I21_BR,I22_BR,I23_BR,I24_BR,I25_BR,I26_BR
0,DT_BR,0.010719,0.111753,0.001718,0.017599,0.010751,0.009753,0.003814,0.098235,0.003145,0.015777,0.217168,0.004002,0.122275,0.0,0.004423,0.00091,0.203219,0.0,0.007848,0.000186,0.003155,0.009912,0.058319,0.004523,0.056813,0.022529
1,DT_BR,0.010719,0.111753,0.001718,0.017599,0.010751,0.009753,0.003814,0.098235,0.003145,0.015777,0.217168,0.004002,0.122275,0.0,0.004423,0.00091,0.203219,0.0,0.007848,0.000186,0.003155,0.009912,0.058319,0.004523,0.056813,0.022529
2,DT_BR,0.010719,0.111753,0.001718,0.017599,0.010751,0.009753,0.003814,0.098235,0.003145,0.015777,0.217168,0.004002,0.122275,0.0,0.004423,0.00091,0.203219,0.0,0.007848,0.000186,0.003155,0.009912,0.058319,0.004523,0.056813,0.022529
3,DT_BR,0.010719,0.111753,0.001718,0.017599,0.010751,0.009753,0.003814,0.098235,0.003145,0.015777,0.217168,0.004002,0.122275,0.0,0.004423,0.00091,0.203219,0.0,0.007848,0.000186,0.003155,0.009912,0.058319,0.004523,0.056813,0.022529
4,DT_BR,0.010719,0.111753,0.001718,0.017599,0.010751,0.009753,0.003814,0.098235,0.003145,0.015777,0.217168,0.004002,0.122275,0.0,0.004423,0.00091,0.203219,0.0,0.007848,0.000186,0.003155,0.009912,0.058319,0.004523,0.056813,0.022529
