Version,Metodo,Alfa,Acc,Acc medio,"Tempo (h,min,s)",n_cv
0,LS,0.005,[0.09610332 0.06617624 0.0772866  0.06756247 0.06997343],0.07542041290158803,"(0, 0, 0.61)",5
1,LS,0.005,[0.09610332 0.06617624 0.0772866  0.06756247 0.06997343],0.07542041290158803,"(0, 0, 0.61)",5
2,LS,0.005,[0.09610332 0.06617624 0.0772866  0.06756247 0.06997343],0.07542041290158803,"(0, 0, 0.91)",5
3,LS,0.005,[0.09610332 0.06617624 0.0772866  0.06756247 0.06997343],0.07542041290158803,"(0, 0, 1.33)",5
4,LS,0.005,[0.09610332 0.06617624 0.0772866  0.06756247 0.06997343],0.07542041290158803,"(0, 0, 0.81)",5
5,LS,0.005,[0.09610332 0.06617624 0.0772866  0.06756247 0.06997343],0.07542041290158803,"(0, 0, 0.63)",5
6,LS,0.005,[0.09610332 0.06617624 0.0772866  0.06756247 0.06997343],0.07542041290158803,"(0, 0, 0.82)",5
7,LS,0.005,"[0.09398884 0.09622597 0.07494751 0.05889049 0.07984542 0.07570087
 0.06416076 0.07133036 0.06531616 0.07599383]",0.07564002072101784,"(0, 0, 1.76)",10
8,LS,0.005,"[0.09398884 0.09622597 0.07494751 0.05889049 0.07984542 0.07570087
 0.06416076 0.07133036 0.06531616 0.07599383]",0.07564002072101784,"(0, 0, 6.73)",10
