Version,Metodo,N_tree,Split,Leaf,Acc,Acc medio,"Tempo (h,min,s)",n_cv
0,RF,1000,40,20,[0.06475365 0.07180509 0.07051503 0.06826404 0.08020446],0.07110845230584883,"(0, 19, 5.84)",5
1,RF,1000,40,20,[0.06475365 0.07180509 0.07051503 0.06826404 0.08020446],0.07110845230584883,"(0, 20, 49.51)",5
2,RF,1000,40,20,[0.06475365 0.07180509 0.07051503 0.06826404 0.08020446],0.07110845230584883,"(0, 20, 2.0)",5
3,RF,1000,40,20,[0.06475365 0.07180509 0.07051503 0.06826404 0.08020446],0.07110845230584883,"(0, 19, 3.14)",5
4,RF,1000,40,20,"[0.07057761 0.06650187 0.0878242  0.05858196 0.07641664 0.06300605
 0.0407912  0.08280785 0.08450348 0.07701562]",0.07080264739341777,"(0, 51, 26.63)",10
5,RF,1000,40,20,"[0.07057761 0.06650187 0.0878242  0.05858196 0.07641664 0.06300605
 0.0407912  0.08280785 0.08450348 0.07701562]",0.07080264739341777,"(0, 49, 35.69)",10
6,RF,1000,40,20,"[0.07057761 0.06650187 0.0878242  0.05858196 0.07641664 0.06300605
 0.0407912  0.08280785 0.08450348 0.07701562]",0.07080264739341777,"(0, 49, 32.11)",10
