Version,Metodo,Split,Leaf,Acc,Acc medio,"Tempo (h,min,s)",n_cv
0,DT,320,200,[0.06478865 0.04506412 0.06406893 0.04111645 0.04296785],0.0516011992625919,"(0, 0, 1.2)",5
1,DT,320,200,[0.06478865 0.04506412 0.06406893 0.04111645 0.04296785],0.0516011992625919,"(0, 0, 1.19)",5
2,DT,320,200,[0.06478865 0.04506412 0.06406893 0.04111645 0.04296785],0.0516011992625919,"(0, 0, 1.01)",5
3,DT,320,200,[0.06478865 0.04506412 0.06406893 0.04111645 0.04296785],0.0516011992625919,"(0, 0, 1.01)",5
4,DT,320,200,[0.06478865 0.04506412 0.06406893 0.04111645 0.04296785],0.0516011992625919,"(0, 0, 1.49)",5
5,DT,320,200,"[0.06952104 0.08245246 0.0635047  0.03648889 0.05327325 0.06668328
 0.05797942 0.04756603 0.03892629 0.04567126]",0.05620666094744771,"(0, 0, 2.44)",10
