Version,Metodo,R2,MAE,MSE,"Tempo (h,min,s)"
0,LS,0.0681,5.5915,75.2038,"(0, 0, 0.63)"
1,LS,0.0681,5.5915,75.2038,"(0, 0, 0.63)"
2,LS,0.0681,5.5915,75.2038,"(0, 0, 0.76)"
3,LS,0.0681,5.5915,75.2038,"(0, 0, 0.8)"
4,LS,0.0681,5.5915,75.2038,"(0, 0, 0.8)"
5,LS,0.0681,5.5915,75.2038,"(0, 0, 0.66)"
