Version,Metodo,R2,MAE,MSE,"Tempo (h,min,s)"
0,DT,0.0492,5.3581,76.7275,"(0, 0, 1.39)"
1,DT,0.0492,5.3581,76.7275,"(0, 0, 1.39)"
