Version,Metodo,R2,MAE,MSE,"Tempo (h,min,s)"
0,RF,0.0683,5.0941,74.1826,"(0, 19, 11.86)"
1,RF,0.0683,5.0941,74.1826,"(0, 21, 22.04)"
2,RF,0.0683,5.0941,74.1826,"(0, 20, 49.11)"
3,RF,0.0683,5.0941,74.1826,"(0, 19, 20.54)"
