Version,Media,Mediana,Variancia,Desvio padrao,Max val,Min val,% Nan val
0,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
1,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
2,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
3,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
4,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
5,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
6,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
7,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
8,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
9,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
10,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
11,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
12,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
13,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
14,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
15,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
16,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
17,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
18,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
19,39.311810335863576,39.31,82.25750156485816,9.069592138837235,86.3,0.0,5.27191431839451
